날짜,제목,링크
20250716,"美하원 제동→트럼프 “반대파 설득”에 ‘롤러코스터’…스테이블코인株, 반등 마감 [투자360]",https://n.news.naver.com/mnews/article/016/0002500640
20250716,"하나마이크론 임시주총, '인적분할' 통과에도 확인된 주주 반발",https://n.news.naver.com/mnews/article/648/0000037945
20250716,한달 남은 MSCI 리뷰…상반기 주도주 '지금조방원'서 후보군 다수 배출,https://n.news.naver.com/mnews/article/008/0005222587
20250716,[시황] 美CPI '관세發 물가상승 신호' 확인…코스피 3200선 아래로 ‘털썩’,https://n.news.naver.com/mnews/article/119/0002979966
20250716,'저당 고추장'의 주인공은 고춧가루가 아니었다,https://n.news.naver.com/mnews/article/648/0000037944
20250716,"프로티나, 공모가 상단 1만4000원 확정…29일 코스닥 상장",https://n.news.naver.com/mnews/article/003/0013366826
20250716,"코난테크놀로지, 290억5000만원 규모 유상증자 추진",https://n.news.naver.com/mnews/article/018/0006067151
20250716,"프로티나, 공모가 1만4000원 확정...의무보유 미확약 92%",https://n.news.naver.com/mnews/article/031/0000949287
20250716,"코스닥 도전 프로티나, 공모가 상단 '1만4000원' 확정",https://n.news.naver.com/mnews/article/417/0001089666
20250716,"""180% 불기둥"" 환호 쏟아진 '이 종목' 털썩…추가 상승 어렵다?",https://n.news.naver.com/mnews/article/008/0005222579
20250716,"신한투자증권, 예탁원 주관 토큰증권 테스트베드 실증 사업 완료",https://n.news.naver.com/mnews/article/119/0002979960
20250716,"코스피, 기관 매도에 3180선 하락 마감…환율은 5.5원↑",https://n.news.naver.com/mnews/article/629/0000407989
20250716,"폴라리스세원, 글로벌 로보택시 시장 '확장 모드' 돌입",https://n.news.naver.com/mnews/article/008/0005222576
20250716,"""코인과 주식 동시에""…빗썸, KB증권과 슈퍼리워드 이벤트",https://n.news.naver.com/mnews/article/003/0013366808
20250716,"""너무 올랐나"" 차익실현 매물에 KB금융 5%↓…시총 6위로[핫종목]",https://n.news.naver.com/mnews/article/421/0008374113
20250716,'코스피 3200 회복 불발' 3180대 하락 마감 [fn마감시황],https://n.news.naver.com/mnews/article/014/0005377982
20250716,삼성증권 개인형 연금잔고 20조 돌파…ETF 잔고 31%↑,https://n.news.naver.com/mnews/article/215/0001216496
20250716,"현대차그룹, 인천국제공항 '전동 휠체어' 대여 서비스 개시",https://n.news.naver.com/mnews/article/417/0001089659
20250716,기관 매도세에 3200선 내준 코스피...코스닥은 약보합 [마감],https://n.news.naver.com/mnews/article/018/0006067143
20250716,호황 후 조정 들어간 건설株…“하반기도 상승 여력”,https://n.news.naver.com/mnews/article/014/0005377972
20250716,차익실현 물량에 코스피 '주춤'…3180선 후퇴[시황종합],https://n.news.naver.com/mnews/article/421/0008374099
20250716,"에코마케팅, 자사주 취득 소식에 14%가량 급등(종합)",https://n.news.naver.com/mnews/article/001/0015511329
20250716,"스테이블코인株, 트럼프 가상화폐법 찬성 설득 소식에 반등 마감(종합)",https://n.news.naver.com/mnews/article/001/0015511326
20250716,"""너무 많이 올랐다""...증권사 투자의견 하향 급증",https://n.news.naver.com/mnews/article/014/0005377967
20250716,"""너무 올라 불안하네""... 증시 고점에 곱버스 베팅하는 개미들",https://n.news.naver.com/mnews/article/014/0005377966
