제목,링크
"신한투자증권, 예탁원 주관 토큰증권 테스트베드 실증 사업 완료",https://n.news.naver.com/mnews/article/119/0002979960
"코스피, 기관 매도에 3180선 하락 마감…환율은 5.5원↑",https://n.news.naver.com/mnews/article/629/0000407989
"폴라리스세원, 글로벌 로보택시 시장 '확장 모드' 돌입",https://n.news.naver.com/mnews/article/008/0005222576
"""코인과 주식 동시에""…빗썸, KB증권과 슈퍼리워드 이벤트",https://n.news.naver.com/mnews/article/003/0013366808
"""너무 올랐나"" 차익실현 매물에 KB금융 5%↓…시총 6위로[핫종목]",https://n.news.naver.com/mnews/article/421/0008374113
'코스피 3200 회복 불발' 3180대 하락 마감 [fn마감시황],https://n.news.naver.com/mnews/article/014/0005377982
삼성증권 개인형 연금잔고 20조 돌파…ETF 잔고 31%↑,https://n.news.naver.com/mnews/article/215/0001216496
"현대차그룹, 인천국제공항 '전동 휠체어' 대여 서비스 개시",https://n.news.naver.com/mnews/article/417/0001089659
기관 매도세에 3200선 내준 코스피...코스닥은 약보합 [마감],https://n.news.naver.com/mnews/article/018/0006067143
호황 후 조정 들어간 건설株…“하반기도 상승 여력”,https://n.news.naver.com/mnews/article/014/0005377972
차익실현 물량에 코스피 '주춤'…3180선 후퇴[시황종합],https://n.news.naver.com/mnews/article/421/0008374099
"에코마케팅, 자사주 취득 소식에 14%가량 급등(종합)",https://n.news.naver.com/mnews/article/001/0015511329
"스테이블코인株, 트럼프 가상화폐법 찬성 설득 소식에 반등 마감(종합)",https://n.news.naver.com/mnews/article/001/0015511326
"""너무 많이 올랐다""...증권사 투자의견 하향 급증",https://n.news.naver.com/mnews/article/014/0005377967
"""너무 올라 불안하네""... 증시 고점에 곱버스 베팅하는 개미들",https://n.news.naver.com/mnews/article/014/0005377966
"휠체어 전동화 키트 무상 대여…현대차그룹, 인천공항서 '휠셰어' 개시",https://n.news.naver.com/mnews/article/011/0004509845
"코스피, 3186.38로 하락 마감… KB금융 5%대↓",https://n.news.naver.com/mnews/article/417/0001089657
"코스피, 美물가 우려에 3200선 내줘…코스닥도 약보합 마감",https://n.news.naver.com/mnews/article/277/0005623554
"HLB펩 ""원료 공급한 류프로렐린 완제품 식약처 허가""",https://n.news.naver.com/mnews/article/417/0001089656
"프로티나, 공모가 1.4만 원 확정…수요예측 경쟁률 1199:1 '흥행' [시그널]",https://n.news.naver.com/mnews/article/011/0004509844
"생활가전 기업 오아, 스팩 합병…9월 코스닥 입성 [시그널]",https://n.news.naver.com/mnews/article/011/0004509843
"중국 방문한 젠슨 황 ""中 AI는 월드클래스""",https://n.news.naver.com/mnews/article/277/0005623552
"업비트, 보안분야 채용 플랫폼 '업사이드 링크' 오픈",https://n.news.naver.com/mnews/article/003/0013366750
"코스피, 美 인플레이션 우려 속 3180대로 밀려…코스닥도 소폭 하락",https://n.news.naver.com/mnews/article/654/0000131748
"코난테크놀로지, 291억 규모 주주배정 유상증자 결정",https://n.news.naver.com/mnews/article/003/0013366747
"차바이오텍, CB 전환가액 1만2349원으로 하향 조정",https://n.news.naver.com/mnews/article/003/0013366746
"""희토류에 베팅"" 미국, 본격 '반격'에…들썩이는 한국 주식",https://n.news.naver.com/mnews/article/015/0005158724
"환율, 美 금리인하 기대 약화에 5.5원 오른 1,385.7원",https://n.news.naver.com/mnews/article/001/0015511298
"5대 증권사 “올 3Q, 코스피 3300 돌파” [하반기 증시전망]",https://n.news.naver.com/mnews/article/014/0005377959
"[올댓차이나] 中 저장지리, 전기차 지커 완전 자회사로…""잔여지분 24억＄에 매수""",https://n.news.naver.com/mnews/article/003/0013366739
"군인공제회, 부동산 개발형 블라인드 펀드 숏리스트 6개사 선정",https://n.news.naver.com/mnews/article/003/0013366734
"한국미용데이터, ‘2025년 미용소상공인 재료비 지원사업’ 신청자 1만5천명 돌파",https://n.news.naver.com/mnews/article/011/0004509838
"코스피, 차익 실현 매물에 0.9%↓…은행·증권주 '털썩'",https://n.news.naver.com/mnews/article/015/0005158720
"코스피, 美 물가 우려에 0.9% 하락…3200선 아래로[마감시황]",https://n.news.naver.com/mnews/article/003/0013366732
"ASML, 2분기 호실적…3분기 가이던스는 예상치 하회",https://n.news.naver.com/mnews/article/277/0005623547
"메리츠證, ‘5조 조달’ SK이노 LNG 유동화 우협 선정 [투자360]",https://n.news.naver.com/mnews/article/016/0002500621
"거래소, 부산 사상구 'KRX지역아동센터' 52호 개소",https://n.news.naver.com/mnews/article/003/0013366704
"코스피, 0.90%↓ 마감",https://n.news.naver.com/mnews/article/421/0008374021
"코스피, 하락 마감…美 물가에 '화들짝'",https://n.news.naver.com/mnews/article/421/0008374020
"코스피, 3200선 아래로",https://n.news.naver.com/mnews/article/421/0008374019
코스피·코스닥 동반 하락,https://n.news.naver.com/mnews/article/421/0008374007
코스피·코스닥 동반 하락,https://n.news.naver.com/mnews/article/421/0008374006
3200선 아래로 떨어진 코스피,https://n.news.naver.com/mnews/article/421/0008374005
하락 마감한 코스피,https://n.news.naver.com/mnews/article/421/0008374004
"코스피, 3200선 아래로",https://n.news.naver.com/mnews/article/421/0008374002
숨고르기 들어간 코스피,https://n.news.naver.com/mnews/article/421/0008374001
"코스피 3200 선 아래로, 3186.38 포인트 장마감",https://n.news.naver.com/mnews/article/003/0013366687
"코스피 3200 선 아래로, 3186.38 포인트 장마감",https://n.news.naver.com/mnews/article/003/0013366686
"코스피 3200선 아래로, 코스닥 동반 하락 장마감",https://n.news.naver.com/mnews/article/003/0013366685
"코스피 3200선 아래로, 코스닥 동반 하락 장마감",https://n.news.naver.com/mnews/article/003/0013366684
"코스피 3200선 아래로 하락, 원달러 환율 상승",https://n.news.naver.com/mnews/article/003/0013366683
코스피 3200선 아래로 장마감,https://n.news.naver.com/mnews/article/003/0013366681
"3200선 아래로 내려간 코스피, 원달러 환율 상승",https://n.news.naver.com/mnews/article/003/0013366680
"NH아문디운용, ‘하나로 TDF’ 4개 빈티지서 5년 수익률 1위",https://n.news.naver.com/mnews/article/011/0004509834
"코스피, 美물가 우려 속 3,180대 하락 마감…코스닥은 약보합",https://n.news.naver.com/mnews/article/001/0015511265
"SGA, 최대주주 변경에 사흘 연속 '上'[핫스탁](종합)",https://n.news.naver.com/mnews/article/003/0013366675
"BNK금융, ‘해양도시전략팀’ 신설… 해수부 이전 선제 대응",https://n.news.naver.com/mnews/article/005/0001790114
브이엠·일정실업 이어 이오테크닉스도 '자사주 처분' 공시 위반,https://n.news.naver.com/mnews/article/031/0000949259
"신한운용 'SOL 미국양자컴퓨팅TOP10', 해외주식형 ETF 중 수익률 1위",https://n.news.naver.com/mnews/article/011/0004509830
"코스피,  0.90% 하락한 3186.38 마감…코스닥 0.08%↓(2보)",https://n.news.naver.com/mnews/article/421/0008373975
"[S리포트] ⑦""원화 스테이블코인, 없는 것보다 낫다""… 전문가들 제언",https://n.news.naver.com/mnews/article/417/0001089648
"서학개미, '테슬라→코인'으로 손바뀜…'크립토 위크'에 베팅 확대",https://n.news.naver.com/mnews/article/014/0005377932
"오아, 미래에셋비전스팩2호와 합병...9월 코스닥 입성",https://n.news.naver.com/mnews/article/014/0005377930
원·달러 환율 5.5원 오른 1385.7원 마감,https://n.news.naver.com/mnews/article/277/0005623534
"[외환] 원/달러 환율 5.5원 오른 1,385.7원(15:30 종가)",https://n.news.naver.com/mnews/article/001/0015511239
"[단독]금융당국 ""조각투자 플랫폼, 발행·유통 분리""",https://n.news.naver.com/mnews/article/008/0005222541
"코스피 3186.38(▼0.90%), 코스닥 812.23(▼0.08%), 원·달러 환율 1385.7원(▲5.5원) 마감[시황]",https://n.news.naver.com/mnews/article/003/0013366641
"[속보] 코스닥, 0.65포인트(0.08%) 내린 812.23 마감",https://n.news.naver.com/mnews/article/417/0001089646
"NH투자증권, 해외이주·자녀유학 컨설팅…이민법인 대양과 협약",https://n.news.naver.com/mnews/article/003/0013366640
[코스닥] 0.65p(0.08%) 내린 812.23 마감,https://n.news.naver.com/mnews/article/421/0008373956
[스팟]코스닥 0.65포인트(0.08%) 내린 812.23 마감,https://n.news.naver.com/mnews/article/008/0005222536
"코스닥, 0.65P 내린 812.23 마감(0.08%↓)",https://n.news.naver.com/mnews/article/277/0005623532
[코스피] 28.90p(0.90%) 내린 3186.38 마감,https://n.news.naver.com/mnews/article/421/0008373954
"코스피, 28.90P 내린 3186.38 마감(0.90%↓)",https://n.news.naver.com/mnews/article/277/0005623531
[코스닥] 0.65p(0.08%) 내린 812.23(장종료),https://n.news.naver.com/mnews/article/001/0015511219
"[속보] 코스피, 28.90포인트(0.90%) 내린 3186.38 마감",https://n.news.naver.com/mnews/article/417/0001089645
"로킷헬스케어, 300억 규모 전환사채 발행…글로벌 자금 유치",https://n.news.naver.com/mnews/article/003/0013366637
[달러·원] 환율 5.5원 오른 1385.7원 (오후 3시 30분),https://n.news.naver.com/mnews/article/421/0008373950
"코스피, 0.90%↓ 마감…시장금리 상승에 '화들짝'",https://n.news.naver.com/mnews/article/215/0001216486
[스팟]코스피 28.90포인트(0.90%) 내린 3186.38 마감,https://n.news.naver.com/mnews/article/008/0005222534
"로킷헬스케어, 글로벌 투자자들로부터 300억 전환사채 유치",https://n.news.naver.com/mnews/article/018/0006067101
자사주 소각 의무화 법안 또 나왔다…벌써 3번째,https://n.news.naver.com/mnews/article/629/0000407953
"[코스피] 28.90p(0.90%) 내린 3,186.38(장종료)",https://n.news.naver.com/mnews/article/001/0015511205
"KB자산운용, ‘RISE 단기특수은행채액티브’ 순자산 1조 원 돌파",https://n.news.naver.com/mnews/article/011/0004509822
"[S리포트] ⑥스테이블코인, 연내 제도화 추진… CBDC 병행 로드맵 주목",https://n.news.naver.com/mnews/article/417/0001089644
"거래소, 부산 사상구 ‘KRX지역아동센터’ 52호 개소 지원",https://n.news.naver.com/mnews/article/119/0002979928
