날짜,제목,링크
20250616,[머니코드] 중동 전쟁에 금리 상승...채권 매수 시기는?,https://n.news.naver.com/mnews/article/018/0006041404
20250616,"뉴욕증시, 중동 불안 완화 기대감에 강세…국제유가 4% ↓",https://n.news.naver.com/mnews/article/277/0005608400
20250616,이스라엘-이란 갈등완화 기대에 美증시 반등…유가 상승세도 진정,https://n.news.naver.com/mnews/article/018/0006041403
20250616,“또 무기 엄청 사들이겠네”...중동 분쟁에 방산·에너지·해운주 ‘쑥’,https://n.news.naver.com/mnews/article/009/0005509821
20250616,"뉴욕증시, 중동 긴장 완화 기대로 반등…나스닥 0.89%↑ 출발",https://n.news.naver.com/mnews/article/001/0015452627
20250616,"테슬라 모델3, '완전자율주행' FSD 모드 중 열차 충돌···상용화 일정 문제없나",https://n.news.naver.com/mnews/article/215/0001212928
20250616,"하루 만에 시가총액 1조 증발...파마리서치 인적분할, 혹평 쏟아지는 이유는?",https://n.news.naver.com/mnews/article/009/0005509795
20250616,"""연준 금리 인하, 예상보다 늦다""…이스라엘·이란 충돌 여파",https://n.news.naver.com/mnews/article/215/0001212926
20250616,"“나 한국으로 돌아갈래”…가즈아 외치던 국내 코인족, 코스피로 발길 돌렸다",https://n.news.naver.com/mnews/article/009/0005509790
20250616,동학개미의 '귀환'…일평균 거래대금 '터졌다',https://n.news.naver.com/mnews/article/215/0001212924
20250616,고공행진 밥상 물가에 달걀부터 칼 빼들었다…공정위 현장조사 착수,https://n.news.naver.com/mnews/article/057/0001891731
20250616,저소득층 최대 50만 원 민생지원금 '무게'…예산은 국채로 충당,https://n.news.naver.com/mnews/article/057/0001891730
20250616,시세 15억 과천아파트 5억에 '줍줍'하자 서버 먹통…청약 이틀 연장,https://n.news.naver.com/mnews/article/057/0001891729
20250616,"살아난 호텔 투자심리…KIC가 투자한 신라스테이, 매각 성사될까",https://n.news.naver.com/mnews/article/018/0006041381
20250616,"코빗, 웹·모바일 서비스 4시간 이상 먹통…""시스템 안정화 점검 중""",https://n.news.naver.com/mnews/article/215/0001212918
20250616,"2차 추경, 소득계층별 15만~50만원 차등지원 검토",https://n.news.naver.com/mnews/article/243/0000079683
20250616,NH프라임리츠 '강남N타워' 매각…시세차익 135억,https://n.news.naver.com/mnews/article/008/0005208272
20250616,"또 떨어진 코픽스, 부동산 '패닉 바잉'에 기름 붓나",https://n.news.naver.com/mnews/article/469/0000870730
20250616,‘중동 리스크’ 누른 밸류업… 코스피 2940 넘었다 [이스라엘-이란 확전 우려],https://n.news.naver.com/mnews/article/014/0005364001
20250616,"적립금은 쌓이는데 수익률은 2%…퇴직연금, 이대로 괜찮나",https://n.news.naver.com/mnews/article/021/0002716367
20250616,"현대글로비스, 에어인천 대주주 펀드에 총 2천6억 출자…500억 추가",https://n.news.naver.com/mnews/article/001/0015452536
20250616,중동發 불안에 방산·조선株 경계감 고조,https://n.news.naver.com/mnews/article/014/0005363982
20250616,"iM증권 ""은퇴전문가 키우고 리테일 영업 강화""",https://n.news.naver.com/mnews/article/014/0005363980
20250616,금·천연가스·원유 ETF '들썩'… 중동전쟁 특수 쏠쏠하네,https://n.news.naver.com/mnews/article/014/0005363975
20250616,'한국투자MySuper알아서펀드' 설정액 300억 증가,https://n.news.naver.com/mnews/article/014/0005363973
20250616,삼성운용 'KODEX 금액티브 ETF' 신규 상장,https://n.news.naver.com/mnews/article/014/0005363971
20250616,신한투자증권 퇴직연금 자산 6조 돌파,https://n.news.naver.com/mnews/article/014/0005363970
20250616,한화운용 'TDF2030액티브 ETF' 내달 16일 상장폐지,https://n.news.naver.com/mnews/article/015/0005145355
20250616,"테슬라 주가 급락, 6억불 상승 베팅…하루에 20% 급등 종목 수두룩, 차익 실현[서학픽]",https://n.news.naver.com/mnews/article/008/0005208265
20250616,"[올댓차이나] 홍콩 증시, 中 소비회복으로 사흘 만에 반등 마감…H주 0.86%↑",https://n.news.naver.com/mnews/article/003/0013306541
20250616,삼성전자 시총 338조로 ‘코스피 14%’ 비중…2위 하이닉스는 180조,https://n.news.naver.com/mnews/article/020/0003641640
20250616,"""매장면적 6년새 34% 키웠다""..출점경쟁 전략 바꾼 'GS25' 왜?",https://n.news.naver.com/mnews/article/008/0005208261
20250616,"""헐값엔 못 판다"" 상폐 막아선 개미들…공개매수 잇따라 제동",https://n.news.naver.com/mnews/article/018/0006041347
20250616,예뻐지는 주가…공매도 줄어드는 휴젤[주톡피아],https://n.news.naver.com/mnews/article/018/0006041346
20250616,"LTC, 자회사 LSE 이중상장 추진에 소수주주 반발",https://n.news.naver.com/mnews/article/031/0000940665
20250616,중동發 리스크에도 코스피 2940 돌파…변수는?,https://n.news.naver.com/mnews/article/243/0000079679
20250616,오늘의 증시 일정(17일),https://n.news.naver.com/mnews/article/009/0005509728
20250616,[코스닥 공시] 디앤디파마텍,https://n.news.naver.com/mnews/article/009/0005509727
20250616,[유가증권시장 공시] 씨케이솔루션 / 대우건설,https://n.news.naver.com/mnews/article/009/0005509726
20250616,"MZ 펀드매니저 최애 종목은 … ""테슬라·팰런티어""",https://n.news.naver.com/mnews/article/009/0005509725
20250616,"강소기업 우회 상장 러시 ""스팩과 합병해 더 빠르게""",https://n.news.naver.com/mnews/article/009/0005509724
20250616,코스피로 눈돌리는 개미 … 가상자산은 외면,https://n.news.naver.com/mnews/article/009/0005509723
20250616,"[투자의 창] 다급해진 미국, 느긋한 중국",https://n.news.naver.com/mnews/article/011/0004497599
20250616,"EQT 한국 부동산 대표에 김대현…“전문성 강화, 시장 공략” [시그널]",https://n.news.naver.com/mnews/article/011/0004497598
20250616,파마리서치 인적분할에 쏟아진 혹평,https://n.news.naver.com/mnews/article/009/0005509718
20250616,SK하이닉스 사상 최고가 삼천피까지 53P 남았다,https://n.news.naver.com/mnews/article/009/0005509716
20250616,중동분쟁도 호재 … K방산주 더 간다,https://n.news.naver.com/mnews/article/009/0005509715
20250616,"트러스톤, 밸류업 ETF 수익률 1위 질주",https://n.news.naver.com/mnews/article/009/0005509714
20250616,중동분쟁에도 기대감 큰 증시…연내 코스피 전망 3400까지 나왔다,https://n.news.naver.com/mnews/article/011/0004497596
20250616,"[올댓차이나] 대만 증시, 중동정세 악화에 사흘째 속락 마감…0.1%↓",https://n.news.naver.com/mnews/article/003/0013306509
20250616,커지는 원전 기대감…두산에너빌리티 17년 만에 시총 10위 진입 [줍줍 리포트],https://n.news.naver.com/mnews/article/011/0004497595
20250616,임기 6개월 남았는데 …벌써 차기 금투협회장 경쟁 ‘후끈’,https://n.news.naver.com/mnews/article/011/0004497593
20250616,중동 전쟁에 방산주 '불기둥'…정유·해운주 뛰고 金값 치솟았다,https://n.news.naver.com/mnews/article/015/0005145265
20250616,"거래소 “스타코링크, 개선계획서 제출”",https://n.news.naver.com/mnews/article/018/0006041336
20250616,타워팰리스 2배 오를때 삼성전자 6배 뛰었다 [코스피 5천 시대로],https://n.news.naver.com/mnews/article/215/0001212913
20250616,이재명 정부 첫 AI수석 하정우…'소버린 AI' 힘 실리나,https://n.news.naver.com/mnews/article/648/0000037034
20250616,일신석재·삼성공조…'빚투 비율' 높은 테마주 주의보,https://n.news.naver.com/mnews/article/015/0005145262
20250616,"""파마리서치, 사실상 중복상장 추진… 대주주만을 위한 결정 의심""",https://n.news.naver.com/mnews/article/011/0004497587
20250616,"진양제약, 9억원 규모 자기전환사채 매도",https://n.news.naver.com/mnews/article/018/0006041333
20250616,"""파마리서치 대주주 위한 결정""…머스트운용, 인적분할 공개비판",https://n.news.naver.com/mnews/article/015/0005145260
20250616,"스코넥 “현저한 시황변동, 유상증자 외 공시 사항 없어”",https://n.news.naver.com/mnews/article/018/0006041331
20250616,"거숀 디슨펠드 ""美 중기채·하이일드 채권 분산투자를""",https://n.news.naver.com/mnews/article/015/0005145258
20250616,상법 개정 추진에 뜨는 주주가치 ETF,https://n.news.naver.com/mnews/article/015/0005145254
20250616,'AI 신약' 눈앞에 둔 美…韓은 개인정보 장벽에,https://n.news.naver.com/mnews/article/011/0004497577
20250616,이란-이스라엘 갈등 고조에···美 방산주도 다시 오르나,https://n.news.naver.com/mnews/article/009/0005509671
20250616,거래대금 급증에 증권주 추가 상승 기대,https://n.news.naver.com/mnews/article/015/0005145253
20250616,"“헌신한 교직원, 인생 3막 지원” 사학연금, 퇴직 예정 교원 연수 실시",https://n.news.naver.com/mnews/article/018/0006041330
20250616,"엘앤에프, 3000억 규모 신주인수권부사채 발행키로",https://n.news.naver.com/mnews/article/011/0004497569
20250616,"트럼프 관세가 부추긴 '동조화'…원화, 위안화 방향따라 움직인다",https://n.news.naver.com/mnews/article/015/0005145249
20250616,"머스트운용 ""파마리서치 분할은 사실상 중복상장…기업가치 떨어질 것""",https://n.news.naver.com/mnews/article/018/0006041329
20250616,무분별한 상장에 ETF 상폐 급증… KB·NH아문디운용 최다,https://n.news.naver.com/mnews/article/029/0002961703
20250616,'환자 임상증거' 확보 못하는 韓…AI 신약 스타트업 고사 위기,https://n.news.naver.com/mnews/article/011/0004497558
20250616,"엘앤에프, 3천억원 규모 신주인수권부사채 발행 결정",https://n.news.naver.com/mnews/article/001/0015452458
20250616,"네패스, 최대주주 변경",https://n.news.naver.com/mnews/article/018/0006041320
20250616,"거래소 ""코스닥시장위, 삼영이엔씨 상장폐지 심의·의결""",https://n.news.naver.com/mnews/article/277/0005608340
20250616,"삼성E&A, 테크 포럼 개최… ""미래 에너지 시장 선도하겠다""",https://n.news.naver.com/mnews/article/417/0001083400
20250616,"佛 에어리퀴드, DIG 품에 안나",https://n.news.naver.com/mnews/article/009/0005509657
20250616,HS효성 타이어소재 인수전 후끈…20일 본입찰,https://n.news.naver.com/mnews/article/009/0005509656
20250616,"엘앤에프, 3000억 BW 발행한다…주주 우선공모[시그널]",https://n.news.naver.com/mnews/article/011/0004497548
20250616,"[단독] 폐지론에 ‘화들짝’…금융위, 자본시장 감독 부서 대폭 키운다",https://n.news.naver.com/mnews/article/011/0004497547
20250616,"중동발 악재에도 급등…이번주 3,000 돌파 전망도 [박해린의 마켓톡톡]",https://n.news.naver.com/mnews/article/215/0001212907
20250616,"비트맥스, 500억원 CB 발행 ""비트코인 추가 매입으로 1위 자리 굳힌다""",https://n.news.naver.com/mnews/article/008/0005208239
20250616,중동發 리스크 고조에도 日증시 '깜짝 반등' 이유는,https://n.news.naver.com/mnews/article/018/0006041316
20250616,한화자산운용 'TDF2030액티브 ETF' 내달 16일 상장폐지,https://n.news.naver.com/mnews/article/001/0015452439
20250616,"거래소 “삼영이엔씨, 상장폐지 심의·의결”",https://n.news.naver.com/mnews/article/018/0006041315
20250616,"[단독] 제재 권한 지키려는 금융위, 감독 인력 대폭 늘린다",https://n.news.naver.com/mnews/article/011/0004497544
20250616,중동 악재에도 2940선 뚫은 코스피…이젠 `파월의 입`에 달렸다,https://n.news.naver.com/mnews/article/029/0002961686
20250616,"해성옵틱스, 주주배정 유상증자 완료…""증설 통해 실적 개선""",https://n.news.naver.com/mnews/article/008/0005208231
20250616,"핵토파이낸셜, 자사주 70만주 처분 결정",https://n.news.naver.com/mnews/article/018/0006041311
20250616,"성우 ""2차전지 안전부품 사업 속도 낼 것""",https://n.news.naver.com/mnews/article/015/0005145217
20250616,중동 갈등 재점화에도 원·달러 환율 하락 전환 [김혜란의 FX],https://n.news.naver.com/mnews/article/011/0004497540
20250616,"거래소, '코스닥 6위' 파마리서치 인적분할 재상장 접수",https://n.news.naver.com/mnews/article/629/0000398921
20250616,"아티스트스튜디오, 61억원 규모 공급계약 체결",https://n.news.naver.com/mnews/article/018/0006041310
20250616,"넥스트칩, 492억원 규모 유상증자 결정",https://n.news.naver.com/mnews/article/018/0006041308
20250616,"KB證, ‘한강 야외결혼식’ 지원…""저출생 극복 및 지역사회 돌봄 실천""",https://n.news.naver.com/mnews/article/018/0006041306
20250616,"금투협, 17년째 '사랑의 도시락' 후원",https://n.news.naver.com/mnews/article/018/0006041294
20250616,3년 5개월 만에 코스피 2940대 돌파...중동 사태에도 이어진 상승세 [HK영상],https://n.news.naver.com/mnews/article/015/0005145212
20250616,"전쟁 공포도 이겼다…코스피, 하루 만에 2900선 재탈환",https://n.news.naver.com/mnews/article/018/0006041292
